breed_slug,file,source,source_url,author,license,license_url,width,height,downloaded_at
doberman,doberman_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
doberman,doberman_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
doberman,doberman_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
french-bulldog,fb_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
french-bulldog,fb_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
french-bulldog,fb_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
french-bulldog,fb_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
french-bulldog,fb_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
german-shepherd,gs_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
german-shepherd,gs_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
german-shepherd,gs_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
german-shepherd,gs_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
german-shepherd,gs_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
golden-retriever,gr_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
golden-retriever,gr_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
golden-retriever,gr_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
golden-retriever,gr_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
golden-retriever,gr_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
goldendoodle,gldn_1.jpg,Pexels,https://www.pexels.com/photo/brown-poodle-lying-on-the-green-grass-10521310/,dbaler,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
goldendoodle,gldn_2.jpg,Pexels,https://www.pexels.com/photo/brown-dog-in-close-up-shot-13332364/,Lesli Whitecotton,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
goldendoodle,gldn_3.jpg,Pexels,https://www.pexels.com/photo/close-up-portrait-of-a-goldendoodle-dog-36858569/,Catherine Dempsey,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
goldendoodle,gldn_4.jpg,Pexels,https://www.pexels.com/photo/photograph-of-a-goldendoodle-near-autumn-leaves-10002216/,Graham Roy,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
